time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
112.160414,-0.096557729,-0.567807376,-0.388278723,0.271259457,-1.292292833,-10.13660812
112.165258,-0.100711621,-0.568978906,-0.393069834,0.297520936,-1.369142771,-10.20270538
112.168375,-0.105496757,-0.569404066,-0.397856563,0.334431678,-1.453431487,-10.22669411
112.172762,-0.109115072,-0.567382514,-0.402325213,0.301332265,-1.520074248,-10.20982933
112.17638,-0.11401163,-0.565040469,-0.406903178,0.240265042,-1.561283946,-10.18747711
112.18037,-0.115819424,-0.562169254,-0.411901861,0.164598033,-1.567833304,-10.18178272
112.185489,-0.118585065,-0.558869243,-0.418181211,0.063078851,-1.532231689,-10.14517021
112.188275,-0.121142998,-0.557483256,-0.422121823,-0.074507788,-1.48154223,-10.16800594
112.193258,-0.121993363,-0.560996115,-0.426377237,-0.214714959,-1.4127599,-10.10954952
112.196236,-0.123697534,-0.560890198,-0.430317193,-0.343758285,-1.342686534,-10.06790161
112.208828,-0.129974648,-0.548440218,-0.441489488,-0.431976914,-1.217183948,-10.31411934
112.213241,-0.133382633,-0.542263627,-0.445004016,-0.367829889,-1.216932654,-10.50032997
112.213241,-0.133382633,-0.542263627,-0.445004016,-0.367829889,-1.216932654,-10.50032997
112.216413,-0.13774325,-0.536306739,-0.446704984,-0.282191187,-1.21790874,-10.68113804
112.224777,-0.145403296,-0.506091595,-0.449896306,-0.186343715,-1.028242588,-10.89788532
112.228413,-0.147108808,-0.486374199,-0.450749844,-0.125020802,-0.817101061,-10.98501301
112.233801,-0.150299668,-0.464897126,-0.451494843,-0.077511035,-0.582769513,-11.03624916
112.23665,-0.156793207,-0.439771324,-0.452878356,-0.069003493,-0.36120677,-11.08046913
112.253383,-0.173077762,-0.368795186,-0.457878679,-0.212383687,0.08338543,-11.43558216
112.256382,-0.17296952,-0.366670668,-0.458517313,-0.423193991,0.051644597,-11.38399887
112.276252,-0.167119801,-0.294192463,-0.460114777,-0.129472643,0.132488608,-10.97046185
112.280279,-0.18286632,-0.284830332,-0.459476292,0.216366768,0.292998403,-11.07713032
112.284422,-0.188936025,-0.269275993,-0.460860193,0.359118432,0.316017807,-11.23644829
112.289487,-0.196914658,-0.231579497,-0.45787859,0.423851669,0.217985526,-11.31425476
112.292886,-0.193290398,-0.196490809,-0.456921637,0.341024697,0.103462778,-11.38731766
112.296248,-0.19340089,-0.177345186,-0.456602633,0.194124803,-0.107809566,-11.39705372
112.300429,-0.190205187,-0.147967905,-0.455857098,0.081933059,-0.361579061,-11.30126953
112.30447,-0.185311347,-0.115834095,-0.45787999,-0.039179154,-0.455790401,-11.15414047
112.30447,-0.185311347,-0.115834095,-0.45787999,-0.039179154,-0.455790401,-11.15414047
112.309381,-0.180095553,-0.089539729,-0.456707925,-0.148316205,-0.36970821,-11.13226986
112.31638,-0.166476429,-0.054735884,-0.454899997,-0.196590722,0.043572128,-11.23672771
112.324285,-0.166795641,-0.030906692,-0.45138672,-0.138315603,0.356759369,-11.05574322
112.32932,-0.173498183,-0.013457984,-0.449578553,-0.210010141,0.431120008,-10.89320469
112.332268,-0.183294192,0.006133362,-0.448407292,-0.2334411,0.450760514,-10.71126366
112.337354,-0.187761784,0.020174012,-0.447556049,-0.25875935,0.47595489,-10.69041824
112.340413,-0.189144865,0.026347762,-0.445106626,-0.230352953,0.498746276,-10.7034874
112.344287,-0.187655836,0.031879634,-0.443299025,-0.187301144,0.530720651,-10.7576828
112.349303,-0.185419545,0.040928941,-0.443086475,-0.190619692,0.551806092,-10.7174902
112.352296,-0.185101092,0.05262607,-0.442767143,-0.280703455,0.568991899,-10.62345028
112.356719,-0.183291465,0.061574493,-0.443299979,-0.417132169,0.604883492,-10.49878407
112.360368,-0.179994628,0.065083824,-0.442766637,-0.533225119,0.638066411,-10.3776474
112.376738,-0.177649647,0.072742626,-0.435849667,-0.687725186,0.943838835,-10.2704401
112.380392,-0.183933944,0.073491231,-0.435104072,-0.69650805,0.935888767,-10.30632782
112.384288,-0.189359441,0.070298858,-0.432762891,-0.698156416,0.868771315,-10.32818699
112.390128,-0.190636635,0.066359222,-0.430633694,-0.704560161,0.784412563,-10.34721088
112.390128,-0.190636635,0.066359222,-0.430633694,-0.704560161,0.784412563,-10.34721088
112.396845,-0.188613281,0.066041835,-0.426696181,-0.825254261,0.637096703,-10.37523842
112.400415,-0.187017873,0.06753128,-0.424994141,-0.877038538,0.656245828,-10.37643623
112.404408,-0.184250578,0.065083362,-0.424143016,-0.90709424,0.7577824,-10.39426804
112.409287,-0.181489006,0.061150324,-0.423610568,-0.927343547,0.877992094,-10.3743124
112.416827,-0.18031399,0.048481606,-0.423078328,-0.994163752,1.053903461,-10.25331593
112.641196,-0.051756423,-0.115724117,-0.486399531,-1.11650455,0.171552762,-9.140420914
112.74505,-0.056541096,-0.148615569,-0.391156495,-0.811270058,0.544817626,-10.26286411
112.749349,-0.060160406,-0.138722941,-0.384772569,-0.825670123,0.459788829,-10.18421745
112.75306,-0.062501721,-0.127438501,-0.379660934,-0.89214313,0.357764959,-10.09930706
112.757852,-0.065694571,-0.12030787,-0.374873877,-1.081257939,0.2354182,-10.16501999
112.761252,-0.069845185,-0.120516025,-0.367849141,-1.163906336,0.031413853,-9.982313156
112.765612,-0.068998963,-0.115626648,-0.361146927,-1.084069848,-0.204588383,-9.732891083
112.769295,-0.065483898,-0.105729021,-0.352950811,-1.081007004,-0.264131069,-9.683314323
112.773036,-0.066119246,-0.092538647,-0.346140146,-0.956940293,-0.098327033,-9.85239315
112.777234,-0.06898991,-0.079442456,-0.342094481,-0.700225234,0.244589761,-10.19042969
112.777234,-0.06898991,-0.079442456,-0.342094481,-0.700225234,0.244589761,-10.19042969
112.793199,-0.098473303,-0.015620906,-0.309328258,-0.141025558,0.562446415,-10.54263878
112.797044,-0.098366924,0.003546315,-0.303150535,-0.225967109,0.550147593,-10.5605793
112.802414,-0.102411263,0.020388151,-0.296010703,-0.246925369,0.465286314,-10.53045654
112.809212,-0.104856312,0.061241321,-0.281008989,-0.210244566,0.588532925,-10.43487358
112.813967,-0.110494487,0.075716712,-0.273988396,-0.204609305,0.754990578,-10.43825436
112.817453,-0.114648797,0.085193396,-0.26600334,-0.18541266,0.861456037,-10.42278576
112.821455,-0.11709673,0.093706615,-0.258023143,-0.179033771,0.920844197,-10.43371296
112.825531,-0.121243529,0.10519319,-0.248554155,-0.113533951,0.973867357,-10.39503098
112.829359,-0.129967749,0.122966565,-0.239932001,-0.075404808,1.041517854,-10.32870293
112.838501,-0.146254003,0.150319099,-0.22279869,-0.15626885,1.001104355,-10.12980366
112.845576,-0.15263921,0.16554293,-0.204281732,-0.258291513,0.958667219,-10.04437733
112.849233,-0.157642946,0.171396002,-0.196510255,-0.235334352,0.956975996,-10.07339573
112.853495,-0.161897033,0.183093786,-0.188320324,-0.273860246,0.993515491,-10.04916382
112.857224,-0.165943205,0.194487214,-0.179270595,-0.315295368,1.07444489,-10.04653263
112.862027,-0.170621008,0.205866396,-0.170550376,-0.375091642,1.166956306,-10.03111839
112.862027,-0.170621008,0.205866396,-0.170550376,-0.375091642,1.166956306,-10.03111839
